#TYPE System.String
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","1","0"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","2","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","3","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","4","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","5","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","6","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","7","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","8","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","9","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","10","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","11","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","12","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","13","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","14","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","15","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","16","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","17","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","18","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","19","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","20","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","21","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","22","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","23","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","24","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","25","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","26","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","27","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","28","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","29","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","30","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","31","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","32","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","33","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","34","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","35","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","36","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","37","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","38","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","39","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","40","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","41","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","42","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","43","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","44","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","45","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","46","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","47","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","48","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","49","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","50","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","51","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","52","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","53","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","54","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","55","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","56","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","57","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","58","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","59","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","60","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","61","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","62","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","63","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","64","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","65","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","66","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","67","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","68","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","69","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","70","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","71","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","72","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","73","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","74","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","75","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","76","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","77","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","78","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","79","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","80","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","81","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","82","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","83","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","84","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","85","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","86","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","87","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","88","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","89","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","90","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","91","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","92","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","93","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","94","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","95","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","96","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","97","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","98","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","99","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","100","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","101","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","102","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","103","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","104","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","105","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","106","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","107","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","108","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","109","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","110","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","111","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","112","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","113","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","114","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","115","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","116","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","117","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","118","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","119","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","120","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","121","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","122","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","123","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","124","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","125","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","126","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","127","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","128","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","129","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","130","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","131","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","132","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","133","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","134","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","135","169"
